canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m
P-619119,2026-04,Railways,Odisha,Ministry of Road Transport & Highways,,,,17.911179602129437,43.519107874837694,99.0,-55.480892125162306,0.0,0.0,,15.169999999999959,496.76,,0.0,,5,0,1,88,1,,,,,0,0
P-619120,2026-02,Railways,Karnataka,Ministry of Road Transport & Highways,,,,40.8962942667306,23.660088140421838,99.0,-75.33991185957817,,,,,,,,,0,0,0,88,1,,,,,0,0
P-619120,2026-03,Railways,Karnataka,Ministry of Road Transport & Highways,,,,40.8962942667306,33.51839742919718,99.19,-65.67160257080282,0.18999999999999773,,,405.56000000000006,,,,,1,0,0,88,1,,,,,0,0
P-619120,2026-04,Railways,Karnataka,Ministry of Road Transport & Highways,,,,40.8962942667306,55.398904686318794,99.19,-43.791095313681204,0.0,,,900.1400000000001,,,,,2,0,0,88,1,,,,,0,0
P-619121,2026-02,Railways,Karnataka,Ministry of Road Transport & Highways,,,,42.94369251063395,17.048230054264337,99.0,-81.95176994573566,,,,,,,,,0,0,0,88,1,,,,,0,0
P-619121,2026-03,Railways,Karnataka,Ministry of Road Transport & Highways,,,,42.94369251063395,35.23672955140744,99.65,-64.41327044859256,0.6500000000000057,,,658.3,,,,,0,0,0,88,1,,,,,0,0
P-619121,2026-04,Railways,Karnataka,Ministry of Road Transport & Highways,,,,42.94369251063395,37.60098582054087,99.65,-62.049014179459135,0.0,,,85.57000000000016,,,,,1,0,0,88,1,,,,,0,0
P-619122,2025-01,"ROAD
TRANSPORT
AND HIGHWAYS",,,,,,0.0,100.8139424832006,99.0,1.8139424832006057,,,,,,,,,0,0,0,88,1,,,0,0,1,1
P-619122,2025-02,"ROAD
TRANSPORT AND",,,,,,0.0,100.8139424832006,99.0,1.8139424832006057,0.0,,,0.0,,,,,1,0,0,84,1,,,0,0,1,1
P-619122,2025-03,,,,,,,0.0,100.8139424832006,99.0,1.8139424832006057,0.0,,,0.0,,,,,2,0,0,84,1,,,0,0,1,1
P-619122,2025-04,"ROAD
TRANSPORT
AND
HIGHWAYS",,,,,,0.0,100.8139424832006,99.0,1.8139424832006057,0.0,0.0,,0.0,0.0,,0.0,,3,0,0,84,1,,,0,0,1,1
P-619122,2025-05,,,,,,,0.0,100.8139424832006,99.0,1.8139424832006057,0.0,0.0,,0.0,0.0,,0.0,,4,0,0,84,1,,,0,0,1,1
P-619122,2025-06,,,,,,,0.0,100.8139424832006,99.0,1.8139424832006057,0.0,0.0,,0.0,0.0,,0.0,,5,0,0,84,1,,,0,0,1,1
P-619122,2026-01,Railways,"Multi-States (Delhi,
Uttar Pradesh)",Ministry of Road Transport & Highways,,,,-0.16697989480942843,89.86016590485865,100.0,-10.139834095141353,,,,,,,,,5,0,1,76,1,,,0,,1,0
P-619122,2026-02,Railways,"Multi-States (Delhi,
Uttar Pradesh)",Ministry of Road Transport & Highways,,,,-0.16697989480942843,89.8858980870154,100.0,-10.114101912984594,0.0,,,0.38000000000010914,,,,,6,0,1,88,1,,,,,0,0
P-619122,2026-03,Railways,"Multi-States (Delhi,
Uttar Pradesh)",Ministry of Road Transport & Highways,,,,-0.16697989480942843,89.8858980870154,100.0,-10.114101912984594,0.0,,,0.0,,,,,7,0,1,84,1,,,,,0,0
P-619122,2026-04,Railways,"Multi-States (Delhi,
Uttar Pradesh)",Ministry of Road Transport & Highways,,,,-0.16697989480942843,90.95513797189774,100.0,-9.044862028102258,0.0,0.0,,15.789999999999964,16.170000000000073,,0.0,,8,0,1,88,1,,,,,0,0
P-619123,2025-01,,,,,,,0.0,4.378978934690166,10.29,-5.911021065309833,,,,,,,,,0,0,0,88,1,,,0,0,1,1
P-619123,2025-02,,,,,,,0.0,7.782120295946711,12.02,-4.237879704053289,1.7300000000000004,,,27.689999999999998,,,,,0,0,0,88,1,,,0,0,1,1
P-619123,2025-03,,,,,,,0.0,11.239338298552221,20.1,-8.86066170144778,8.080000000000002,,,28.130000000000003,,,,,0,0,0,88,1,,,0,0,1,1
P-619123,2025-04,,,,,,,0.0,11.241796327704447,21.19,-9.948203672295554,1.0899999999999999,10.900000000000002,,0.01999999999999602,55.839999999999996,,3.633333333333334,,0,0,0,88,1,,,0,0,1,1
P-619123,2025-05,,,,,,,0.0,11.270063662955042,22.17,-10.89993633704496,0.9800000000000004,10.150000000000002,,0.23000000000000398,28.380000000000003,,3.383333333333334,,0,0,0,88,1,,,0,0,1,1
