canonical_project_id,snapshot_month,data_quality_score,quality_flags,source_url,source_page
L-N12000125,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,186
L-N12000125,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,181
L-N12000125,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,202
L-N12000125,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,157
L-N12000125,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,174
L-N16000235,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,43
L-N16000235,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,43
L-N16000239,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,110
L-N16000239,2025-02,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,114
L-N16000343,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,44
L-N16000343,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,44
L-N16000343,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,42
L-N16000358,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,139
L-N16000358,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,143
L-N16000358,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,140
L-N16000361,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,175
L-N16000361,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,179
L-N16000361,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,174
L-N16000361,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,194
L-N16000369,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,115
L-N16000369,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,119
L-N16000369,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,115
L-N16000369,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,127
L-N16000369,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,104
L-N16000369,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,113
L-N16000378,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,44
L-N16000378,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,44
L-N16000382,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,85
L-N16000382,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,87
L-N16000382,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,85
L-N16000382,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,92
L-N16000382,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,79
L-N16000382,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,83
L-N16000392,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,235
L-N16000392,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,242
L-N16000392,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,235
L-N16000392,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,263
L-N16000392,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,203
L-N16000411,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,85
L-N16000411,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,87
L-N16000411,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,84
L-N16000411,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,92
L-N16000411,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,79
L-N16000411,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,83
L-N16000413,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,76
L-N16000413,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,79
L-N16000413,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,76
L-N16000423,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,65
L-N16000423,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,67
L-N16000423,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,64
L-N16000423,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,70
L-N16000423,2025-05,76,MISSING_TARGET_DATE;CUM_EXPENDITURE_DECREASE,LOCAL_CACHE,62
L-N16000423,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,64
L-N16000426,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,164
L-N16000426,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,168
L-N16000426,2025-03,76,MISSING_TARGET_DATE;CUM_EXPENDITURE_DECREASE,LOCAL_CACHE,163
L-N16000426,2025-04,76,MISSING_TARGET_DATE;CUM_EXPENDITURE_DECREASE,LOCAL_CACHE,182
L-N16000426,2025-05,76,MISSING_TARGET_DATE;CUM_EXPENDITURE_DECREASE,LOCAL_CACHE,144
L-N16000429,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,214
L-N16000429,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,220
L-N16000429,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,214
L-N16000429,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,239
L-N16000429,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,185
L-N16000429,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,204
L-N16000436,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,139
L-N16000436,2025-02,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,143
L-N16000440,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,182
L-N16000440,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,186
L-N16000440,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,181
L-N16000440,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,203
L-N16000440,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,158
L-N16000440,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,175
L-N16000442,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,139
L-N16000442,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,143
L-N16000442,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,140
L-N16000442,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,154
L-N16000442,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,123
L-N16000442,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,135
L-N16000446,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,139
L-N16000446,2025-02,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,143
L-N16000446,2025-03,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,140
L-N16000446,2025-04,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,154
L-N16000446,2025-05,80,MISSING_TARGET_DATE;PROGRESS_JUMP_GT40,LOCAL_CACHE,124
L-N16000446,2025-06,84,MISSING_TARGET_DATE;POSSIBLE_STALE_UPDATE,LOCAL_CACHE,136
L-N16000452,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,139
L-N16000452,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,144
L-N16000452,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,140
L-N16000452,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,154
L-N16000452,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,124
L-N16000452,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,136
L-N16000486,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,198
L-N16000486,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,203
L-N16000486,2025-03,76,MISSING_TARGET_DATE;CUM_EXPENDITURE_DECREASE,LOCAL_CACHE,197
L-N16000486,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,221
L-N16000486,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,171
L-N16000486,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,190
L-N16000496,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,187
L-N16000496,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,192
L-N16000496,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,186
L-N16000496,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,209
L-N16000496,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,162
L-N16000499,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,44
L-N16000499,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,44
L-N16000499,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,42
L-N16000499,2025-04,88,MISSING_TARGET_DATE,LOCAL_CACHE,45
L-N16000499,2025-05,88,MISSING_TARGET_DATE,LOCAL_CACHE,44
L-N16000499,2025-06,88,MISSING_TARGET_DATE,LOCAL_CACHE,43
L-N16000500,2025-01,88,MISSING_TARGET_DATE,LOCAL_CACHE,102
L-N16000500,2025-02,88,MISSING_TARGET_DATE,LOCAL_CACHE,106
L-N16000500,2025-03,88,MISSING_TARGET_DATE,LOCAL_CACHE,103
