group_column,group,rows,positives,pr_auc,roc_auc,precision,recall,f1,balanced_accuracy,specificity,accuracy,brier,log_loss,ece,tn,fp,fn,tp,alerts_generated,threshold,false_positive_rate
quality_bucket,70-79,31,13,0.6172625807241191,0.7692307692307693,0.4,0.15384615384615385,0.2222222222222222,0.4935897435897436,0.8333333333333334,0.5483870967741935,0.3415471212674089,1.0291025847151727,0.3511113547605338,15,3,11,2,5,0.22999999999999998,0.16666666666666666
quality_bucket,80-89,434,155,0.4887800685553529,0.691941264886114,0.475,0.24516129032258063,0.32340425531914896,0.5473118279569893,0.8494623655913979,0.6336405529953917,0.28404054246835064,0.9492985450696824,0.25397158964268646,237,42,117,38,80,0.22999999999999998,0.15053763440860216
quality_bucket,90-100,1623,428,0.5770968727361794,0.8220056309388808,0.5679012345679012,0.5373831775700935,0.5522208883553421,0.695469831462871,0.8535564853556485,0.7701786814540974,0.17060773896350287,0.5428114100720742,0.13178390643488014,1020,175,198,230,405,0.22999999999999998,0.14644351464435146
cost_bucket,"(0.099, 364.0]",540,170,0.5297919614383496,0.7502543720190779,0.5496688741721855,0.48823529411764705,0.5171339563862928,0.6522257551669316,0.8162162162162162,0.7129629629629629,0.22081734279052975,0.7159548011425856,0.18568474462838727,302,68,87,83,151,0.22999999999999998,0.1837837837837838
cost_bucket,"(2154.23, 188000.0]",539,129,0.6089799654773099,0.8419550009453582,0.6,0.46511627906976744,0.5240174672489083,0.6837776517300057,0.9024390243902439,0.7977736549165121,0.15568753991981404,0.5153293895959942,0.12451435709337542,370,40,69,60,100,0.22999999999999998,0.0975609756097561
cost_bucket,"(364.0, 838.68]",538,151,0.5253994127231756,0.7692215548368329,0.5161290322580645,0.423841059602649,0.46545454545454545,0.6344011499563632,0.8449612403100775,0.7267657992565055,0.20149263426892902,0.6482498140445122,0.16698611170320388,327,60,87,64,124,0.22999999999999998,0.15503875968992248
cost_bucket,"(838.68, 2154.23]",538,159,0.5806390016982615,0.8002688305869469,0.5655737704918032,0.4339622641509434,0.49110320284697506,0.6470602877482949,0.8601583113456465,0.7342007434944238,0.20052716772922183,0.6347610513405262,0.16899071054063766,326,53,90,69,122,0.22999999999999998,0.13984168865435356
progress_stage,0-25,679,63,0.2265046727204713,0.7716192537621109,0.2962962962962963,0.12698412698412698,0.17777777777777778,0.5480699855699855,0.9691558441558441,0.8910162002945509,0.09184354115838976,0.33882699843680136,0.07563326616260313,597,19,55,8,27,0.22999999999999998,0.030844155844155844
progress_stage,25-50,291,50,0.5528037625214283,0.8741908713692946,0.525,0.42,0.4666666666666667,0.6705809128630705,0.921161825726141,0.8350515463917526,0.12202986572026903,0.38276449120940736,0.09900221061626778,222,19,29,21,40,0.22999999999999998,0.07883817427385892
progress_stage,50-75,393,110,0.5348248179800944,0.7754256344362351,0.49523809523809526,0.4727272727272727,0.48372093023255813,0.6427240603919049,0.8127208480565371,0.7175572519083969,0.19236152606210846,0.6035475737589785,0.1458437285851952,230,53,58,52,105,0.22999999999999998,0.1872791519434629
progress_stage,75-100+,792,386,0.6270046655978577,0.6494805890910947,0.6,0.5051813471502591,0.5485232067510548,0.5924921514076418,0.6798029556650246,0.5946969696969697,0.31057205490545126,0.9797926563365953,0.2592842659929904,276,130,191,195,325,0.22999999999999998,0.32019704433497537
