canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m,valid_delay_target_3m,valid_delay_target_6m,valid_cost_target_3m,valid_cost_target_6m
P-617379,2025-09,Railways,Delhi,Ministry of Railways,211,-66,0,0.0,114.73073216646871,80.0,34.73073216646871,,,,,,,,20.0,0,0,0,98,0,,,0,0,1,1,0,0,1,1
P-617379,2025-10,Railways,Delhi,Ministry of Railways,212,-67,0,0.0,114.73073216646871,80.0,34.73073216646871,0.0,,,0.0,,,,20.0,1,0,0,94,0,,,0,0,1,1,0,0,1,1
P-617390,2025-09,Railways,"Multi-States (Chhattisgarh, Odisha)",Ministry of Railways,12,30,0,0.0,9.985879342492257,0.0,9.985879342492257,,,,,,,,3.3333333333333335,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617390,2025-10,Railways,"Multi-States (Chhattisgarh, Odisha)",Ministry of Railways,13,29,0,0.0,9.985879342492257,1.0,8.985879342492257,1.0,,,0.0,,,,3.413793103448276,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617391,2025-09,Electricity Generation,Gujarat,Ministry of Power,7,18,4,0.0,0.022527596305474205,0.0,0.022527596305474205,,,,,,,,5.555555555555555,0,0,0,98,0,0,1,0,0,1,1,1,1,1,1
P-617391,2025-10,Electricity Generation,Gujarat,Ministry of Power,8,17,4,0.0,0.02457555960597186,0.0,0.02457555960597186,0.0,,,0.009999999999999995,,,,5.882352941176471,1,0,0,94,0,0,1,0,0,1,1,1,1,1,1
P-617403,2025-09,Railways,Rajasthan,Ministry of Railways,20,9,0,0.0,21.233782861044727,50.0,-28.766217138955273,,,,,,,,5.555555555555555,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617403,2025-10,Railways,Rajasthan,Ministry of Railways,21,8,0,0.0,26.689996585865483,50.0,-23.310003414134517,0.0,,,25.569999999999993,,,,6.25,1,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617404,2025-09,Railways,Rajasthan,Ministry of Railways,5,30,0,0.0,0.0,0.0,0.0,,,,,,,,3.3333333333333335,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617404,2025-10,Railways,Rajasthan,Ministry of Railways,6,29,0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,3.4482758620689653,1,0,0,94,0,0,0,0,0,1,1,1,1,1,1
P-617405,2025-09,Electricity Generation,Gujarat,Ministry of Power,11,13,0,0.0,0.0,0.0,0.0,,,,,,,,7.6923076923076925,0,0,0,98,0,0,0,0,0,1,1,1,1,1,1
P-617405,2025-10,Electricity Generation,Gujarat,Ministry of Power,12,12,0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,8.333333333333334,1,0,0,94,0,0,0,0,0,1,1,1,1,1,1
