canonical_project_id,snapshot_month,sector,state,ministry_department,project_age_months,months_to_target,current_time_slip_months,current_cost_overrun_pct,spend_ratio_pct,physical_progress_pct,financial_physical_gap_pct,progress_delta_1m,progress_delta_3m,progress_delta_6m,spend_delta_1m_cr,spend_delta_3m_cr,spend_delta_6m_cr,progress_velocity_3m,schedule_pressure,stagnation_streak_months,target_revision_count_to_date,cost_revision_count_to_date,data_quality_score,missing_core_fields_count,delay_event_next_3m,delay_event_next_6m,cost_escalation_next_3m,cost_escalation_next_6m,future_coverage_3m,future_coverage_6m,valid_delay_target_3m,valid_delay_target_6m,valid_cost_target_3m,valid_cost_target_6m
P-400033,2025-03,Coal,Maharashtra,Ministry of Coal,,36,0,25.707888391319322,8.40298139369194,17.0,-8.59701860630806,0.0,,,0.0,,,,2.3055555555555554,2,0,0,80,0,0,0,0,,1,1,1,1,1,0
P-400033,2025-04,Coal,Maharashtra,Ministry of Coal,35,35,0,25.707888391319322,8.40298139369194,17.0,-8.59701860630806,0.0,0.0,,0.0,0.0,,0.0,2.3714285714285714,3,0,0,80,0,0,0,,,1,1,1,1,0,0
P-400033,2025-05,Coal,Maharashtra,Ministry of Coal,36,34,0,25.707888391319322,8.40298139369194,17.0,-8.59701860630806,0.0,0.0,,0.0,0.0,,0.0,2.4411764705882355,4,0,0,88,0,0,0,,,1,1,1,1,0,0
P-400033,2025-06,Coal,Maharashtra,Ministry of Coal,37,33,0,25.707888391319322,8.40298139369194,17.0,-8.59701860630806,0.0,0.0,,0.0,0.0,,0.0,2.515151515151515,5,0,0,88,0,0,0,,,1,1,1,1,0,0
P-400033,2025-07,Coal,Maharashtra,Ministry of Coal,38,32,0,0.0,3.534214016293209,26.0,-22.46578598370679,9.0,9.0,9.0,-40.81,-40.81,-40.81,3.0,2.3125,0,0,1,62,0,0,0,,,1,1,1,1,0,0
P-400033,2025-08,Coal,Maharashtra,Ministry of Coal,66,31,0,0.0,12.009782814625996,26.0,-13.990217185374004,0.0,9.0,9.0,49.21000000000001,8.400000000000006,8.400000000000006,3.0,2.3870967741935485,1,0,1,90,0,0,0,0,0,1,1,1,1,1,1
P-400033,2025-09,Coal,Maharashtra,Ministry of Coal,67,30,0,0.0,12.016672120700642,28.0,-15.983327879299358,2.0,11.0,11.0,0.03999999999999204,8.439999999999998,8.439999999999998,3.6666666666666665,2.4,0,0,1,82,0,0,0,0,0,1,1,1,1,1,1
P-400033,2025-10,Coal,Maharashtra,Ministry of Coal,68,29,0,0.0,12.705602728165205,28.0,-15.294397271834795,0.0,2.0,11.0,4.0,53.25,12.439999999999998,0.6666666666666666,2.4827586206896552,1,0,1,90,0,0,0,0,0,1,1,1,1,1,1
P-400035,2025-01,Energy Storage,Tripura,Ministry of Petroleum & Natural Gas,31,8,1,0.0,56.66158536585366,72.1,-15.438414634146334,,,,,,,,3.4875000000000007,0,0,0,92,0,0,0,0,0,1,1,1,1,1,1
P-400035,2025-02,Energy Storage,Tripura,Ministry of Petroleum & Natural Gas,32,7,1,0.0,57.84146341463415,76.2,-18.358536585365854,4.1000000000000085,,,7.740000000000009,,,,3.3999999999999995,0,0,0,92,0,0,1,0,0,1,1,1,1,1,1
