canonical_project_id,paimana_project_code,legacy_ocms_code,identity_source,identity_confidence,collision_flag
L-N24001488,,N24001488,LEGACY_OCMS_ID,0.95,0
L-N24001501,,N24001501,LEGACY_OCMS_ID,0.95,0
L-N24001503,,N24001503,LEGACY_OCMS_ID,0.95,0
L-N24001505,,N24001505,LEGACY_OCMS_ID,0.95,0
L-N24001516,,N24001516,LEGACY_OCMS_ID,0.95,0
L-N24001523,,N24001523,LEGACY_OCMS_ID,0.95,0
L-N24001524,,N24001524,LEGACY_OCMS_ID,0.95,0
L-N24001525,,N24001525,LEGACY_OCMS_ID,0.95,0
L-N24001529,,N24001529,LEGACY_OCMS_ID,0.95,0
L-N24001532,,N24001532,LEGACY_OCMS_ID,0.95,0
L-N24001533,,N24001533,LEGACY_OCMS_ID,0.95,0
L-N24001534,,N24001534,LEGACY_OCMS_ID,0.95,0
L-N24001536,,N24001536,LEGACY_OCMS_ID,0.95,0
L-N24001538,,N24001538,LEGACY_OCMS_ID,0.95,0
L-N24001539,,N24001539,LEGACY_OCMS_ID,0.95,0
L-N24001540,,N24001540,LEGACY_OCMS_ID,0.95,0
L-N24001541,,N24001541,LEGACY_OCMS_ID,0.95,0
L-N24001542,,N24001542,LEGACY_OCMS_ID,0.95,0
L-N24001553,,N24001553,LEGACY_OCMS_ID,0.95,0
L-N24001559,,N24001559,LEGACY_OCMS_ID,0.95,0
L-N24001561,,N24001561,LEGACY_OCMS_ID,0.95,0
L-N24001566,,N24001566,LEGACY_OCMS_ID,0.95,0
L-N24001569,,N24001569,LEGACY_OCMS_ID,0.95,0
L-N24001571,,N24001571,LEGACY_OCMS_ID,0.95,0
L-N24001573,,N24001573,LEGACY_OCMS_ID,0.95,0
L-N24001594,,N24001594,LEGACY_OCMS_ID,0.95,0
L-N24001600,,N24001600,LEGACY_OCMS_ID,0.95,0
L-N24001603,,N24001603,LEGACY_OCMS_ID,0.95,0
L-N24001604,,N24001604,LEGACY_OCMS_ID,0.95,0
L-N24001610,,N24001610,LEGACY_OCMS_ID,0.95,0
L-N24001616,,N24001616,LEGACY_OCMS_ID,0.95,0
L-N24001618,,N24001618,LEGACY_OCMS_ID,0.95,0
L-N24001623,,N24001623,LEGACY_OCMS_ID,0.95,0
L-N24001624,,N24001624,LEGACY_OCMS_ID,0.95,0
L-N24001625,,N24001625,LEGACY_OCMS_ID,0.95,0
L-N24001636,,N24001636,LEGACY_OCMS_ID,0.95,0
L-N24001641,,N24001641,LEGACY_OCMS_ID,0.95,0
L-N24001650,,N24001650,LEGACY_OCMS_ID,0.95,0
L-N24001654,,N24001654,LEGACY_OCMS_ID,0.95,0
L-N24001662,,N24001662,LEGACY_OCMS_ID,0.95,0
L-N24001663,,N24001663,LEGACY_OCMS_ID,0.95,0
L-N24001666,,N24001666,LEGACY_OCMS_ID,0.95,0
L-N24001670,,N24001670,LEGACY_OCMS_ID,0.95,0
L-N24001671,,N24001671,LEGACY_OCMS_ID,0.95,0
L-N24001673,,N24001673,LEGACY_OCMS_ID,0.95,0
L-N24001675,,N24001675,LEGACY_OCMS_ID,0.95,0
L-N24001683,,N24001683,LEGACY_OCMS_ID,0.95,0
L-N24001684,,N24001684,LEGACY_OCMS_ID,0.95,0
L-N24001686,,N24001686,LEGACY_OCMS_ID,0.95,0
L-N24001691,,N24001691,LEGACY_OCMS_ID,0.95,0
L-N24001692,,N24001692,LEGACY_OCMS_ID,0.95,0
L-N24001696,,N24001696,LEGACY_OCMS_ID,0.95,0
L-N24001698,,N24001698,LEGACY_OCMS_ID,0.95,0
L-N24001701,,N24001701,LEGACY_OCMS_ID,0.95,0
L-N24001704,,N24001704,LEGACY_OCMS_ID,0.95,0
L-N24001705,,N24001705,LEGACY_OCMS_ID,0.95,0
L-N24001708,,N24001708,LEGACY_OCMS_ID,0.95,0
L-N24001711,,N24001711,LEGACY_OCMS_ID,0.95,0
L-N24001715,,N24001715,LEGACY_OCMS_ID,0.95,0
L-N24001716,,N24001716,LEGACY_OCMS_ID,0.95,0
L-N24001722,,N24001722,LEGACY_OCMS_ID,0.95,0
L-N24001725,,N24001725,LEGACY_OCMS_ID,0.95,0
L-N24001726,,N24001726,LEGACY_OCMS_ID,0.95,0
L-N24001728,,N24001728,LEGACY_OCMS_ID,0.95,0
