project_id,snapshot_month,previous_target,previous_target_source,current_target,current_target_source,reporting_regime,interpreted_change_months,semantic_comparable,exclusion_reason
P-618418,2025-12,2026-05-01,REVISED,2025-06-01,REVISED,PAIMANA,-11,0,REPORTING_REGIME_CHANGE
P-618418,2026-03,2025-06-01,REVISED,2026-05-01,REVISED,PAIMANA,11,1,
P-618419,2025-12,2026-09-01,REVISED,2026-09-01,ORIGINAL,PAIMANA,0,1,
P-618419,2026-03,2026-09-01,ORIGINAL,2026-09-01,REVISED,PAIMANA,0,1,
P-618420,2025-02,2026-09-01,ORIGINAL,2026-09-01,REVISED,OCMS_LEGACY,0,1,
P-618420,2025-03,2026-09-01,REVISED,2026-09-01,ORIGINAL,OCMS_LEGACY,0,1,
P-618420,2025-04,2026-09-01,ORIGINAL,2026-09-01,REVISED,OCMS_LEGACY,0,1,
P-618420,2025-12,2026-09-01,REVISED,2026-09-01,ORIGINAL,PAIMANA,0,1,
P-618420,2026-03,2026-09-01,ORIGINAL,2026-09-01,REVISED,PAIMANA,0,1,
P-618421,2025-12,2026-09-01,REVISED,2026-09-01,ORIGINAL,PAIMANA,0,1,
P-618421,2026-03,2026-09-01,ORIGINAL,2026-09-01,REVISED,PAIMANA,0,1,
P-618422,2025-02,2025-09-01,ORIGINAL,2025-09-01,REVISED,OCMS_LEGACY,0,1,
P-618422,2025-03,2025-09-01,REVISED,2025-09-01,ORIGINAL,OCMS_LEGACY,0,1,
P-618422,2025-04,2025-09-01,ORIGINAL,2025-09-01,REVISED,OCMS_LEGACY,0,1,
P-618422,2025-12,2025-09-01,REVISED,2025-09-01,ORIGINAL,PAIMANA,0,1,
P-618422,2026-03,2025-09-01,ORIGINAL,2026-04-01,REVISED,PAIMANA,7,0,TARGET_SOURCE_TRANSITION
P-618423,2025-04,2025-08-01,REVISED,2025-08-01,ANTICIPATED,OCMS_LEGACY,0,1,
P-618423,2025-05,2025-08-01,ANTICIPATED,2025-08-01,REVISED,OCMS_LEGACY,0,1,
P-618423,2025-12,2025-08-01,REVISED,2025-08-01,ORIGINAL,PAIMANA,0,1,
P-618423,2026-03,2025-08-01,ORIGINAL,2026-03-01,REVISED,PAIMANA,7,0,TARGET_SOURCE_TRANSITION
P-618426,2026-03,2025-09-01,REVISED,2026-04-01,REVISED,PAIMANA,7,1,
P-618426,2026-04,2026-04-01,REVISED,2026-12-01,REVISED,PAIMANA,8,1,
P-618427,2025-02,2024-10-01,REVISED,2025-04-01,REVISED,OCMS_LEGACY,6,1,
P-618427,2025-06,2025-04-01,REVISED,2025-10-01,REVISED,OCMS_LEGACY,6,1,
P-618427,2025-12,2025-10-01,REVISED,2025-10-01,REVISED,PAIMANA,0,1,
P-618427,2026-03,2025-10-01,REVISED,2026-05-01,REVISED,PAIMANA,7,1,
P-618428,2026-03,2025-10-01,REVISED,2026-04-01,REVISED,PAIMANA,6,1,
P-618428,2026-04,2026-04-01,REVISED,2026-05-01,REVISED,PAIMANA,1,1,
P-618429,2025-02,2025-03-01,REVISED,2025-04-01,REVISED,OCMS_LEGACY,1,1,
P-618429,2025-04,2025-04-01,REVISED,2025-04-01,ANTICIPATED,OCMS_LEGACY,0,1,
P-618429,2025-05,2025-04-01,ANTICIPATED,2025-10-01,REVISED,OCMS_LEGACY,6,0,TARGET_SOURCE_TRANSITION
P-618429,2025-12,2025-10-01,REVISED,2023-06-01,REVISED,PAIMANA,-28,0,REPORTING_REGIME_CHANGE
P-618429,2026-01,2023-06-01,REVISED,2025-04-01,REVISED,PAIMANA,22,1,
P-618429,2026-03,2025-04-01,REVISED,2026-05-01,REVISED,PAIMANA,13,1,
P-618430,2025-02,2025-01-01,REVISED,2025-03-01,REVISED,OCMS_LEGACY,2,1,
