canonical_project_id,first_snapshot,last_snapshot,observed_months,calendar_span_months,coverage_pct,missing_month_count,missing_months
L-N24001387,2025-01,2025-06,6,6,100.0,0,
L-N24001388,2025-01,2025-06,6,6,100.0,0,
L-N24001389,2025-01,2025-04,4,4,100.0,0,
L-N24001391,2025-01,2025-04,4,4,100.0,0,
L-N24001397,2025-01,2025-06,6,6,100.0,0,
L-N24001401,2025-01,2025-06,6,6,100.0,0,
L-N24001402,2025-01,2025-06,6,6,100.0,0,
L-N24001404,2025-01,2025-06,6,6,100.0,0,
L-N24001405,2025-01,2025-06,6,6,100.0,0,
L-N24001408,2025-01,2025-06,6,6,100.0,0,
L-N24001424,2025-01,2025-06,6,6,100.0,0,
L-N24001426,2025-01,2025-06,6,6,100.0,0,
L-N24001427,2025-01,2025-06,6,6,100.0,0,
L-N24001428,2025-01,2025-04,4,4,100.0,0,
L-N24001430,2025-01,2025-04,4,4,100.0,0,
L-N24001432,2025-01,2025-01,1,1,100.0,0,
L-N24001439,2025-01,2025-06,6,6,100.0,0,
L-N24001440,2025-01,2025-05,5,5,100.0,0,
L-N24001448,2025-01,2025-06,6,6,100.0,0,
L-N24001451,2025-01,2025-03,3,3,100.0,0,
L-N24001453,2025-01,2025-06,6,6,100.0,0,
L-N24001455,2025-01,2025-06,6,6,100.0,0,
L-N24001456,2025-01,2025-06,6,6,100.0,0,
L-N24001464,2025-01,2025-06,6,6,100.0,0,
L-N24001467,2025-01,2025-06,6,6,100.0,0,
L-N24001468,2025-01,2025-06,6,6,100.0,0,
L-N24001472,2025-01,2025-06,6,6,100.0,0,
L-N24001475,2025-01,2025-04,4,4,100.0,0,
L-N24001480,2025-01,2025-06,6,6,100.0,0,
L-N24001488,2025-01,2025-06,6,6,100.0,0,
L-N24001501,2025-01,2025-01,1,1,100.0,0,
L-N24001503,2025-01,2025-06,6,6,100.0,0,
L-N24001505,2025-01,2025-06,6,6,100.0,0,
L-N24001516,2025-01,2025-06,6,6,100.0,0,
L-N24001523,2025-01,2025-06,6,6,100.0,0,
L-N24001524,2025-01,2025-06,6,6,100.0,0,
L-N24001525,2025-01,2025-06,6,6,100.0,0,
L-N24001529,2025-01,2025-06,6,6,100.0,0,
L-N24001532,2025-01,2025-04,4,4,100.0,0,
L-N24001533,2025-01,2025-04,4,4,100.0,0,
L-N24001534,2025-01,2025-04,4,4,100.0,0,
L-N24001536,2025-01,2025-04,4,4,100.0,0,
L-N24001538,2025-01,2025-06,6,6,100.0,0,
L-N24001539,2025-01,2025-06,6,6,100.0,0,
L-N24001540,2025-01,2025-06,6,6,100.0,0,
L-N24001541,2025-01,2025-06,6,6,100.0,0,
L-N24001542,2025-01,2025-06,6,6,100.0,0,
L-N24001553,2025-01,2025-06,6,6,100.0,0,
L-N24001559,2025-01,2025-06,6,6,100.0,0,
L-N24001561,2025-01,2025-01,1,1,100.0,0,
L-N24001566,2025-01,2025-01,1,1,100.0,0,
L-N24001569,2025-01,2025-01,1,1,100.0,0,
L-N24001571,2025-01,2025-01,1,1,100.0,0,
L-N24001573,2025-01,2025-06,6,6,100.0,0,
L-N24001594,2025-01,2025-06,6,6,100.0,0,
L-N24001600,2025-01,2025-05,5,5,100.0,0,
L-N24001603,2025-01,2025-05,5,5,100.0,0,
L-N24001604,2025-01,2025-01,1,1,100.0,0,
L-N24001610,2025-01,2025-06,6,6,100.0,0,
